time,open,high,low,close,volume
2022-01-01 12:00:00+00:00,46776,46984,46769,46984,1963273.261
2022-01-01 12:15:00+00:00,46995,47014,46907,46955,948218.089
2022-01-01 12:30:00+00:00,46955,47171,46954,47036,2358024.124
2022-01-01 12:45:00+00:00,47028,47135,47028,47091,603261.4663
2022-01-01 13:00:00+00:00,47091,47144,47035,47141,2213532.448
2022-01-01 13:15:00+00:00,47135,47199,46996,47049,3185324.646
2022-01-01 13:30:00+00:00,47045,47090,46957,47090,1292748.562
2022-01-01 13:45:00+00:00,47084,47084,46986,47037,897263.1866
2022-01-01 14:00:00+00:00,47037,47069,46966,46989,1069645.795
2022-01-01 14:15:00+00:00,46985,47099,46984,47035,2115440.584
2022-01-01 14:30:00+00:00,47036,47036,46861,46918,2923958.651
2022-01-01 14:45:00+00:00,46922,46965,46890,46944,1852600.825
2022-01-01 15:00:00+00:00,46935,47002,46894,46974,998784.1493
2022-01-01 15:15:00+00:00,46959,47030,46933,47029,350663.4836
2022-01-01 15:30:00+00:00,47030,47497,47018,47347,16465500.26
2022-01-01 15:45:00+00:00,47347,47396,47126,47215,10215895.25
2022-01-01 16:00:00+00:00,47223,47456,47196,47414,3399249.984
2022-01-01 16:15:00+00:00,47429,47521,47361,47491,2528961.325
2022-01-01 16:30:00+00:00,47492,47497,47396,47438,1830870.501
2022-01-01 16:45:00+00:00,47436,47469,47260,47267,1369797.142
2022-01-01 17:00:00+00:00,47267,47363,47253,47253,2849783.907
2022-01-01 17:15:00+00:00,47254,47346,47254,47343,822174.445
2022-01-01 17:30:00+00:00,47335,47907,47335,47868,12602646.12
2022-01-01 17:45:00+00:00,47867,47938,47677,47758,6269865.378
2022-01-01 18:00:00+00:00,47758,47835,47684,47758,6073288.489
2022-01-01 18:15:00+00:00,47750,47783,47633,47643,1263661.174
2022-01-01 18:30:00+00:00,47646,47672,47443,47472,6222577.663
2022-01-01 18:45:00+00:00,47483,47636,47451,47572,5668223.15
2022-01-01 19:00:00+00:00,47590,47622,47518,47519,2248070.147
2022-01-01 19:15:00+00:00,47518,47519,47351,47382,2879850.792
2022-01-01 19:30:00+00:00,47417,47417,47317,47331,4223595.008
2022-01-01 19:45:00+00:00,47331,47354,47305,47325,12967243.91
2022-01-01 20:00:00+00:00,47326,47346,47299,47329,3754288.236
2022-01-01 20:15:00+00:00,47327,47434,47259,47417,2836679.867
2022-01-01 20:30:00+00:00,47417,47557,47404,47404,7006216.099
2022-01-01 20:45:00+00:00,47405,47481,47368,47425,4736679.155
2022-01-01 21:00:00+00:00,47424,47555,47398,47524,2916762.374
2022-01-01 21:15:00+00:00,47515,47543,47366,47368,1936255.217
2022-01-01 21:30:00+00:00,47368,47496,47368,47470,11751878.77
2022-01-01 21:45:00+00:00,47451,47474,47289,47331,8304012.145
2022-01-01 22:00:00+00:00,47331,47368,47234,47274,2700136.283
2022-01-01 22:15:00+00:00,47275,47408,47274,47393,1380093.161
2022-01-01 22:30:00+00:00,47393,47470,47389,47457,966416.3207
2022-01-01 22:45:00+00:00,47457,47476,47388,47436,1972474.595
2022-01-01 23:00:00+00:00,47436,47445,47284,47362,3584907.621
2022-01-01 23:15:00+00:00,47337,47485,47336,47440,1256135.769
2022-01-01 23:30:00+00:00,47439,47590,47380,47516,2312493.215
2022-01-01 23:45:00+00:00,47517,47828,47517,47747,21685702.01
2022-01-02 00:00:00+00:00,47746,47768,47492,47538,9891842.793
2022-01-02 00:15:00+00:00,47538,47576,47398,47560,8223977.66
2022-01-02 00:30:00+00:00,47559,47711,47522,47668,2963250.539
2022-01-02 00:45:00+00:00,47654,47682,47613,47658,1293800.175
2022-01-02 01:00:00+00:00,47659,47659,47449,47463,3903760.495
2022-01-02 01:15:00+00:00,47464,47508,47431,47452,3698047.454
2022-01-02 01:30:00+00:00,47459,47483,47343,47406,1525186.583
2022-01-02 01:45:00+00:00,47406,47408,47333,47379,1952165.362
2022-01-02 02:00:00+00:00,47379,47441,47345,47441,3133667.376
2022-01-02 02:15:00+00:00,47440,47455,47337,47337,326319.4398
2022-01-02 02:30:00+00:00,47336,47442,47304,47372,3883215.505
2022-01-02 02:45:00+00:00,47372,47430,47372,47397,260015.3237
2022-01-02 03:00:00+00:00,47397,47404,47310,47310,999023.39
2022-01-02 03:15:00+00:00,47305,47398,47280,47398,2565259.484
2022-01-02 03:30:00+00:00,47397,47470,47397,47413,753236.7925
2022-01-02 03:45:00+00:00,47417,47417,47303,47338,13646255.75
2022-01-02 04:00:00+00:00,47338,47407,47311,47392,2799590.218
2022-01-02 04:15:00+00:00,47392,47392,47296,47303,2445293.058
2022-01-02 04:30:00+00:00,47302,47379,47100,47170,5220844.017
2022-01-02 04:45:00+00:00,47170,47170,46789,46913,16055890.72
2022-01-02 05:00:00+00:00,46912,47003,46849,46883,4140667.086
2022-01-02 05:15:00+00:00,46876,46957,46857,46930,1803743.037
2022-01-02 05:30:00+00:00,46942,47065,46942,46962,1703586.61
2022-01-02 05:45:00+00:00,46962,47085,46933,47085,3462978.193
2022-01-02 06:00:00+00:00,47084,47137,47021,47052,2244244.304
2022-01-02 06:15:00+00:00,47052,47199,47042,47119,1833453.477
2022-01-02 06:30:00+00:00,47117,47240,47077,47201,2819255.228
2022-01-02 06:45:00+00:00,47202,47243,47137,47145,1854402.414
2022-01-02 07:00:00+00:00,47145,47173,47103,47133,433440.3407
2022-01-02 07:15:00+00:00,47150,47210,47150,47192,835452.2762
2022-01-02 07:30:00+00:00,47193,47290,47175,47176,2680897.778
2022-01-02 07:45:00+00:00,47176,47204,47114,47179,3272636.232
2022-01-02 08:00:00+00:00,47179,47179,46984,47065,6974248.423
2022-01-02 08:15:00+00:00,47064,47228,47064,47178,749505.4791
2022-01-02 08:30:00+00:00,47178,47184,47075,47164,605409.7658
2022-01-02 08:45:00+00:00,47164,47248,47163,47232,792518.7189
2022-01-02 09:00:00+00:00,47233,47240,47164,47217,1228117.318
2022-01-02 09:15:00+00:00,47216,47498,47199,47356,7304217.229
2022-01-02 09:30:00+00:00,47357,47389,47339,47384,1431361.857
2022-01-02 09:45:00+00:00,47383,47384,47270,47288,1647853.989
2022-01-02 10:00:00+00:00,47283,47343,47268,47343,446850.1147
2022-01-02 10:15:00+00:00,47345,47345,47261,47270,782053.1238
2022-01-02 10:30:00+00:00,47269,47311,47225,47254,434191.0496
2022-01-02 10:45:00+00:00,47257,47258,47151,47178,874512.5411
2022-01-02 11:00:00+00:00,47187,47273,47183,47273,557961.8747
2022-01-02 11:15:00+00:00,47272,47329,47268,47318,263487.3754
2022-01-02 11:30:00+00:00,47318,47382,47281,47281,681226.2172
2022-01-02 11:45:00+00:00,47281,47282,47213,47239,1776448.49
2022-01-02 12:00:00+00:00,47240,47249,47026,47109,4610350.994
2022-01-02 12:15:00+00:00,47109,47188,47088,47154,1633483.698
2022-01-02 12:30:00+00:00,47153,47451,47153,47325,3440639.125
2022-01-02 12:45:00+00:00,47316,47368,47287,47301,1522153.927
2022-01-02 13:00:00+00:00,47302,47302,47145,47145,554697.4467
2022-01-02 13:15:00+00:00,47144,47256,47104,47237,3614251.904
2022-01-02 13:30:00+00:00,47248,47248,47150,47170,394825.0936
2022-01-02 13:45:00+00:00,47169,47178,47105,47149,1481020.686
2022-01-02 14:00:00+00:00,47136,47181,47105,47170,3060589.197
2022-01-02 14:15:00+00:00,47171,47196,47031,47061,1336500.999
2022-01-02 14:30:00+00:00,47072,47165,47072,47164,1137699.701
2022-01-02 14:45:00+00:00,47154,47162,47111,47120,371292.2551
2022-01-02 15:00:00+00:00,47121,47329,47087,47305,2780991.879
2022-01-02 15:15:00+00:00,47306,47311,47195,47204,906907.3329
2022-01-02 15:30:00+00:00,47204,47220,47137,47204,706554.1299
2022-01-02 15:45:00+00:00,47210,47394,47210,47348,2877580.602
2022-01-02 16:00:00+00:00,47348,47487,47294,47424,3766791.204
2022-01-02 16:15:00+00:00,47443,47475,47377,47432,2548186.782
